CITIES,2016/17,2017/18,2018/19,2019/20,2020/21
Aberdeen,6,-12,4,17,19
Airway Heights,31,397,268,200,153
Anacortes,83,53,133,83,61
Arlington,19,210,199,362,458
Auburn,507,534,653,21,389
Bainbridge Island,90,139,124,231,65
Battle Ground,318,162,172,137,177
Bellevue,685,586,658,1416,507
Bellingham,658,674,572,737,617
Bonney Lake,77,125,40,105,527
Bothell,169,360,641,719,161
Bremerton,77,379,7,35,420
Burien,51,416,55,64,206
Burlington,9,111,30,55,83
Camas,449,245,140,350,353
Centralia,-2,6,9,36,87
Cheney,253,235,110,116,119
Covington,593,65,65,83,43
Des Moines,-37,-39,197,278,158
DuPont,6,0,12,36,13
East Wenatchee,47,30,9,12,11
Edgewood,292,274,118,282,465
Edmonds,79,66,196,157,28
Ellensburg,65,8,113,321,313
Enumclaw,23,85,208,148,129
Everett,170,186,387,314,"1,027"
Federal Way,514,147,172,99,275
Ferndale,87,70,221,119,240
Fife,1,-4,2,21,77
Gig Harbor,177,360,157,120,92
Grandview,-3,5,3,14,18
Issaquah,1016,445,154,623,315
Kelso,2,15,3,26,-11
Kenmore,158,172,56,63,77
Kennewick,355,348,435,511,427
Kent,332,410,524,181,427
Kirkland,414,221,326,643,578
Lacey,433,647,466,582,823
Lake Forest Park,31,38,67,13,1
Lake Stevens,287,149,182,484,562
Lakewood,27,-8,59,218,33
Liberty Lake,172,272,292,210,218
Longview,15,52,44,22,44
Lynden,88,197,115,153,110
Lynnwood,10,989,321,331,17
Maple Valley,46,130,455,152,216
Marysville,471,462,295,496,218
Mercer Island,220,24,33,115,20
Mill Creek,25,202,59,-3,1
Monroe,102,124,123,227,273
Moses Lake,151,539,317,255,295
Mount Vernon,219,97,151,97,72
Mountlake Terrace,113,18,23,21,471
Mukilteo,16,4,-3,9,9
Newcastle,103,638,26,214,292
Oak Harbor,49,36,31,-13,34
Olympia,235,43,63,394,318
Pasco,401,484,498,591,591
Port Angeles,22,-21,109,28,64
Port Orchard,71,49,104,120,77
Port Townsend,9,25,18,4,48
Poulsbo,122,125,163,153,16
Pullman,260,100,186,159,761
Puyallup,153,76,160,430,88
Redmond,660,729,721,2141,731
Renton,417,216,234,288,143
Richland,127,621,507,626,382
Sammamish,220,464,385,231,179
SeaTac,291,33,19,-24,112
Seattle,7638,8451,11238,8311,"8,728"
Sedro-Woolley,25,88,48,65,45
Shelton,17,-1,25,77,20
Shoreline,10,275,365,185,467
Snohomish,35,38,22,17,112
Snoqualmie,46,81,75,-8,197
Spokane,1126,923,680,554,618
Spokane Valley,397,537,492,340,878
Sumner,71,47,17,110,37
Sunnyside,26,60,50,56,20
Tacoma,1025,412,596,1058,349
Tukwila,34,36,576,180,98
Tumwater,53,267,143,120,362
University Place,106,101,70,63,162
Vancouver,1282,3234,1054,2079,"2,060"
Walla Walla,205,50,109,63,63
Washougal,69,111,106,112,72
Wenatchee,210,204,47,296,32
West Richland,120,110,148,120,332
Woodinville,95,55,296,198,13
Yakima,104,97,218,333,552
Yelm,59,86,10,56,7