COUNTIES,2016,2017,2018,2019,2020
Adams County,31,31,47,73,99
Asotin County,63,34,34,86,161
Benton County,1389,1111,1285,1540,1345
Chelan County,1750,442,590,606,670
Clallam County,640,307,336,287,279
Clark County,3557,3787,3598,4722,5022
Columbia County,3312,4,4,4,10
Cowlitz County,310,484,318,351,346
Douglas County,489,187,217,349,321
Ferry County,202,0,1,27,26
Franklin County,551,698,616,601,620
Garfield County,531,1,2,2,4
Grant County,651,445,451,489,544
Grays Harbor County,857,251,463,344,342
Island County,580,408,391,369,445
Jefferson County,611,172,143,174,157
King County,17937,18641,18460,17919,12337
Kitsap County,18758,1094,1149,1117,1285
Kittitas County,1382,531,629,411,414
Klickitat County,446,115,127,112,124
Lewis County,355,234,275,301,382
Lincoln County,282,43,58,48,56
Mason County,216,212,276,293,305
Okanogan County,299,144,153,156,197
Pacific County,210,85,131,91,92
Pend Oreille County,136,41,48,50,80
Pierce County,3924,4968,5449,4272,4922
San Juan County,3989,115,156,133,116
Skagit County,629,663,585,518,561
Skamania County,543,58,63,73,82
Snohomish County,3963,3725,4277,4408,5780
Spokane County,7521,3460,2926,3106,3170
Stevens County,3705,140,200,194,192
Thurston County,2190,1067,1750,1713,1161
Wahkiakum County,2096,20,11,16,25
Walla Walla County,233,144,221,190,154
Whatcom County,1401,1256,1464,1821,1382
Whitman County,1377,242,264,415,98
Yakima County,616,434,578,1043,575