USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
WA,53001,1531601,Adams,4985698856,12464425,1924.989,4.813,47.011238,-118.512861
WA,53003,1533502,Asotin,1647427905,11291731,636.075,4.36,46.181861,-117.227781
WA,53005,1513302,Benton,4403309851,154293639,1700.128,59.573,46.228125,-119.516659
WA,53007,1531932,Chelan,7565814941,189653434,2921.178,73.226,47.860974,-120.619041
WA,53009,1531341,Clallam,4503412739,2409309960,1738.777,930.24,48.110903,-123.88986
WA,53011,1531820,Clark,1627792396,70200672,628.494,27.105,45.77173,-122.485953
WA,53013,1513273,Columbia,2249624779,12561759,868.585,4.85,46.29285,-117.911634
WA,53015,1529156,Cowlitz,2955587567,65453464,1141.159,25.272,46.196785,-122.67846
WA,53017,1531818,Douglas,4711819965,76557106,1819.244,29.559,47.741763,-119.694622
WA,53019,1531821,Ferry,5706368585,140294391,2203.241,54.168,48.473256,-118.533589
WA,53021,1531822,Franklin,3215718486,60508754,1241.596,23.363,46.537502,-118.903891
WA,53023,1533500,Garfield,1841054897,19294817,710.835,7.45,46.429318,-117.536705
WA,53025,1531924,Grant,6940003416,289811930,2679.55,111.897,47.213633,-119.467788
WA,53027,1531823,Grays Harbor,4924794342,834310602,1901.474,322.129,47.113732,-123.826735
WA,53029,1513272,Island,539943912,799920796,208.474,308.851,48.158554,-122.670649
WA,53031,1531936,Jefferson,4671633827,994992501,1803.728,384.169,47.805708,-123.527057
WA,53033,1531933,King,5479337396,496938967,2115.584,191.869,47.490552,-121.833977
WA,53035,1529223,Kitsap,1023308791,442187072,395.102,170.729,47.639595,-122.649634
WA,53037,1531926,Kittitas,5949926850,92486168,2297.28,35.709,47.124441,-120.676709
WA,53039,1529219,Klickitat,4847515939,84930636,1871.636,32.792,45.870446,-120.779305
WA,53041,1531927,Lewis,6223175362,86929744,2402.782,33.564,46.580071,-122.377444
WA,53043,1514052,Lincoln,5984421204,75265950,2310.598,29.06,47.582743,-118.417692
WA,53045,1529221,Mason,2485218918,236969801,959.548,91.495,47.350832,-123.173103
WA,53047,1531928,Okanogan,13639402439,120409385,5266.203,46.49,48.548453,-119.742235
WA,53049,1513274,Pacific,2418037245,758680651,933.609,292.928,46.556587,-123.782419
WA,53051,1529157,Pend Oreille,3626617235,65406812,1400.245,25.254,48.543825,-117.232191
WA,53053,1529159,Pierce,4320001331,356119653,1667.962,137.499,47.051413,-122.15324
WA,53055,1531931,San Juan,450432205,1157478544,173.913,446.905,48.50719,-123.103769
WA,53057,1531402,Skagit,4481338199,483760601,1730.254,186.781,48.493292,-121.81577
WA,53059,1529220,Skamania,4294897557,73323243,1658.269,28.31,46.024785,-121.953232
WA,53061,1529222,Snohomish,5404065563,282905322,2086.521,109.23,48.054913,-121.765038
WA,53063,1529225,Spokane,4569318495,43407953,1764.224,16.76,47.620375,-117.403371
WA,53065,1531930,Stevens,6415657826,162941995,2477.099,62.912,48.388728,-117.854455
WA,53067,1529226,Thurston,1871256793,133627810,722.496,51.594,46.935822,-122.830152
WA,53069,1513275,Wahkiakum,680976231,61568965,262.926,23.772,46.294638,-123.424458
WA,53071,1531819,Walla Walla,3289370358,74932288,1270.033,28.932,46.254606,-118.48037
WA,53073,1529224,Whatcom,5459483486,1028111662,2107.918,396.956,48.842653,-121.836432
WA,53075,1533501,Whitman,5592463291,48246698,2159.262,18.628,46.905944,-117.53539
WA,53077,1531929,Yakima,11122734368,41188783,4294.512,15.903,46.456558,-120.740145